NODE ,X [m],Y [m],Z [m]
1081,27.227,2.531,0.294
1082,28.524,-2.530,0.306
1083,28.775,2.531,0.308
1084,30.073,-2.530,0.320
1085,95.363,2.531,0.306
1086,96.661,-2.530,0.294
1087,93.815,2.531,0.320
1088,95.112,-2.530,0.309
1090,-1.164,2.531,-0.082
1091,-0.516,0.000,-0.008
1092,0.134,-2.530,-0.061
1100,123.754,2.531,-0.061
1101,124.404,0.000,-0.009
1102,125.051,-2.530,-0.083
1161,32.930,-2.530,0.343
1162,33.416,-2.530,0.347
1165,32.155,2.531,0.337
1166,31.634,2.531,0.333
1168,91.736,-2.531,0.337
1169,92.250,-2.530,0.332
1172,90.471,2.531,0.347
1173,90.958,2.531,0.343
1199,30.250,-2.530,0.322
1200,29.862,-2.530,0.318
1203,28.589,2.531,0.306
1204,28.956,2.531,0.310
1207,94.931,-2.530,0.310
1208,95.298,-2.530,0.307
1210,93.638,2.531,0.321
1211,94.023,2.531,0.318
3000,0.000,0.000,0.000
3001,0.516,0.000,0.008
3002,1.032,0.000,0.017
3003,1.549,0.000,0.025
3004,2.323,0.000,0.038
3005,3.097,0.000,0.050
3006,3.871,0.000,0.063
3007,4.646,0.000,0.075
3008,5.420,0.000,0.087
3009,6.194,0.000,0.098
3010,6.969,0.000,0.110
3011,7.743,0.000,0.121
3012,8.517,0.000,0.133
3013,9.292,0.000,0.144
3014,10.066,0.000,0.156
3015,10.840,0.000,0.166
3016,11.614,0.000,0.176
3017,12.389,0.000,0.187
3018,13.163,0.000,0.197
3019,13.937,0.000,0.208
3020,14.712,0.000,0.218
3021,15.486,0.000,0.228
3022,16.260,0.000,0.237
3023,17.035,0.000,0.247
3024,17.809,0.000,0.256
3025,18.583,0.000,0.265
3026,19.357,0.000,0.275
3027,20.132,0.000,0.284
3028,20.906,0.000,0.292
3029,21.680,0.000,0.300
3030,22.455,0.000,0.309
3031,23.229,0.000,0.317
3032,24.003,0.000,0.325
3033,24.778,0.000,0.334
3034,25.552,0.000,0.341
3035,26.326,0.000,0.348
3036,27.100,0.000,0.356
3037,27.875,0.000,0.363
3038,28.649,0.000,0.370
3039,29.423,0.000,0.377
3040,30.198,0.000,0.384
3041,30.972,0.000,0.390
3042,31.746,0.000,0.397
3043,32.520,0.000,0.403
3044,33.295,0.000,0.409
3045,34.069,0.000,0.415
3046,34.843,0.000,0.422
3047,35.618,0.000,0.427
3048,36.392,0.000,0.432
3049,37.166,0.000,0.437
3050,37.941,0.000,0.442
3051,38.715,0.000,0.447
