NODE,Si
1105,0.0222
1106,0.0428
1107,0.009
1108,0.0167
1109,0.0224
1110,0.009
1111,0.0388
1112,0.0197
1114,0.0098
1115,0.011
1116,0.0041
1124,0.0125
1125,0.0109
1126,0.0028
1183,0.0177
1184,0.0291
1187,0.0506
1188,0.036
1190,0.0217
1191,0.0367
1194,0.0424
1195,0.0511
1237,0.0263
1238,0.0141
1241,0.042
1242,0.048
1245,0.0166
1246,0.0194
1248,0.0429
1249,0.0573
3000,0.021
3001,0.0217
3002,0.0185
3003,0.0185
3004,0.0446
3005,0.0425
3006,0.0458
3007,0.0422
3008,0.0313
3009,0.0425
3010,0.0456
3011,0.0424
3012,0.0322
3013,0.0443
3014,0.0444
3015,0.0421
3016,0.0322
3017,0.0435
3018,0.0459
3019,0.0424
3020,0.0321
3021,0.0435
3022,0.0458
3023,0.0424
3024,0.0322
3025,0.0436
3026,0.0451
3027,0.04
3028,0.0322
3029,0.0436
3030,0.0459
3031,0.0424
3032,0.0322
3033,0.0443
3034,0.0444
3035,0.0411
3036,0.0379
3037,0.0364
3038,0.0378
3039,0.0362
3040,0.032
3041,0.0097
3042,0.1177
3043,0.173
3044,0.1821
3045,0.1727
3046,0.1822
3047,0.1761
3048,0.1529
3049,0.1828
3050,0.2042
3051,0.196
3052,0.1529
3053,0.1819
3054,0.2043
3055,0.196
3056,0.1535
3057,0.1828
3058,0.2017
3059,0.1872
3060,0.1535
3061,0.1828
3062,0.2045
3063,0.1961
3064,0.1535
3065,0.1829
3066,0.1983
3067,0.2123
3068,0.1512
3069,0.144
3070,0.2022
3071,0.2124
3072,0.1527
3073,0.1439
3074,0.2021
3075,0.2127
3076,0.1512
3077,0.144
3078,0.2025
3079,0.2099
3080,0.151
3081,0.1438
3082,0.1979
3083,0.2125
3084,0.1568
3085,0.18
3086,0.2028
3087,0.2127
3088,0.1512
3089,0.144
3090,0.2022
3091,0.2124
3092,0.1527
3093,0.1439
3094,0.2021
3095,0.2129
3096,0.1527
3097,0.1439
3098,0.1979
3099,0.2125
3100,0.1528
3101,0.1439
3102,0.202
3103,0.2129
3104,0.1568
3105,0.18
3106,0.2027
3107,0.2127
3108,0.1512
3109,0.144
3110,0.2025
3111,0.2101
3112,0.1526
3113,0.1439
3114,0.202
3115,0.2138
3116,0.1593
3117,0.1983
3118,0.1594
3119,0.1736
3120,0.1535
3121,0.0121
3122,0.024
3123,0.0361
3124,0.0378
3125,0.0363
3126,0.0374
3127,0.0425
3128,0.0317
3129,0.0436
3130,0.044
3131,0.0468
3132,0.032
3133,0.0426
3134,0.0452
3135,0.047
3136,0.033
3137,0.0433
3138,0.0454
3139,0.0468
3140,0.0317
3141,0.0427
3142,0.0453
3143,0.0461
3144,0.032
3145,0.0426
3146,0.0452
3147,0.0469
3148,0.032
3149,0.0436
3150,0.044
3151,0.0468
3152,0.032
3153,0.0425
3154,0.0452
3155,0.0468
3156,0.032
3157,0.0427
3158,0.0462
3159,0.0327
3160,0.0195
3161,0.0215
3162,0.021
3500,0.0301
3501,0.021
3502,0.0741
3503,0.0193
3504,0.15
3505,0.0312
3506,0.1542
3507,0.0244
3508,0.199
3509,0.0311
3510,0.1545
3511,0.0217
3512,0.1973
3513,0.0319
3514,0.1565
3515,0.0227
3516,0.1968
3517,0.0313
3518,0.1539
3519,0.0219
3520,0.1885
3521,24.699
3522,0.1546
3523,0.0226
3524,0.1967
3525,0.0313
3526,0.1537
3527,0.0284
3528,0.196
3529,0.0312
3530,0.1546
3531,0.0218
3532,0.1958
3533,0.0318
3534,0.1566
3535,0.0198
3536,0.0157
3538,0.0201
3540,0.0251
3541,0.0171
3542,0.0211
3543,0.0163
3544,0.0212
3545,0.0175
3546,0.0143
3547,0.0171
3548,0.134
3549,0.0307
3550,0.1054
3551,0.0183
3552,0.1269
3553,0.0276
3554,0.1047
3555,0.0184
3556,0.1329
3557,0.0306
3558,0.1044
3559,0.0287
3560,0.1342
3561,0.0306
3562,0.1054
3563,0.0183
3564,0.1342
3565,0.0313
3566,0.1056
3567,0.0196
3568,0.1335
3569,0.0306
3570,0.1048
3571,0.0198
3572,0.134
3573,0.0306
3574,0.1044
3575,0.0187
3576,0.1323
3577,0.0306
3578,0.1053
3579,0.0271
3580,0.1344
3581,24.7069
3582,0.106
3583,0.0195
3584,0.1263
3585,0.0276
3586,0.105
3587,0.0184
3588,0.1332
3589,0.0306
3590,0.1048
3591,0.0199
3592,0.1339
3593,0.0306
3594,0.1048
3595,0.0198
3596,0.1345
3597,0.0313
3598,0.1067
3599,0.0183
3600,0.1346
3601,0.0306
3602,0.1051
3603,0.0183
3604,0.1261
3605,0.0276
3606,0.1048
3607,0.0197
3608,0.1337
3609,0.0307
3610,0.1052
3611,0.027
3612,0.1346
3613,0.0305
3614,0.1054
3615,0.0168
3616,0.0141
3617,0.0159
3618,0.0148
3619,0.0188
3620,0.0227
3621,0.0154
3622,0.015
3624,0.0206
3626,0.0158
3627,0.0251
3628,0.1972
3629,0.0318
3630,0.1566
3631,0.0227
3632,0.197
3633,0.0312
3634,0.1538
3635,0.0221
3636,0.1886
3637,0.0282
3638,0.1541
3639,0.0218
3640,24.5451
3641,0.0312
